User ID,Username,Name,Contact Number,Gender,Password,Employee Type,
1,ngfdn,ngfnfn,dnfgdn,Male,fdnfd,Technician,
2,mary,Mary Ting,0198387463,Female,mary,Cleaner,
3,vfdv,fdvfddfv,dfvdfvdf,Male,vfdvdf,Security Guard,
5,uthayan,Uthayan,0198374623,Male,uthayan,Technician,
6,emily,Emily,0187362839,Female,emily,Security Guard,
7,kinkin,rtrb,rtbtrb,Female,rbtrbtrbt,Security Guard,
8,tifanny,Tifanny,0198873625,Female,tifanny,Security Guard,
9,user,user,1323,Female,user,Security Guard,
10,fgbgf,bfgbg,fbgfbgfb,Male,gbgfb,Security Guard,
11,johnny,Johnny sins ,01223214,Female,johnny,Security Guard,
